1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1970,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4D Design Group,4D Design Group,4D Design Group
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Abernethy R E,Abernethy R E,Abernethy R E,Abernethy R E,Abernethy R E,Abernethy R E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abernethy Ray & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addison & Son (G H) & Macdonald,Addison & Son (G H) & Macdonald,Addison Geo F,Addison Geo F,Addison Geo F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ainsley & Bell,Ainsley & Bell,Ainsley & Bell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Airey A L,Airey A L,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Akers R G,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Akers Robert,Akers Robert,Akers Robert,Akers Robert,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Akers Robert G,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akers Tan & Associates
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,Allom J N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anderws John International Pty Ltd,Anderws John International Pty Ltd,Anderws John International Pty Ltd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Architect's Group,Architect's Group,Architect's Group,Architect's Group,Architect's Group,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Arcon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas,,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas,Armstrong Jas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnold Smith & Jones
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arundel J N,,,,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,Arundel J N,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N,Arundel Jas N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacon K J,Bacon K J,Bacon K J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bailey R E,Bailey R E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Baker K L,Baker K L,Baker K L,Baker K L,Baker K L,,,Baker K L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Baker R G,Baker R G,Baker R G,Baker R G,Baker R G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Balchin C C,Balchin C C,Balchin C C,Balchin C C,Balchin C C,Balchin C C,Balchin C C,Balchin C C,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C,Balchin Colin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balchin Colin C & Associates,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Banfield Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Banfield Gordon D,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Barclay R L,Barclay R L,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barraclough J H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartlett Douglas,Bartlett Douglas,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bechervaise Harry,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Beck H M,,Beck H M,Beck H M,Beck H M,Beck H M,Beck H M,,,,,,,Beck H M,
